...1,Year,Comodity,Units,Value
Western Ontario,2024E,Canola,Acres harvested,7440.087960417811
Western Ontario,2024E,Canola,Yield (bushels/acre),55.06122462160614
Western Ontario,2024E,Canola,Production ('000 bushels),409.66035439307257
Western Ontario,2024E,Canola,Production ('000 tonnes),9.291035888439458
Durham,2024E,Canola,Acres seeded,551.553562724073
Durham,2024E,Canola,Acres harvested,494.16360856577353
Durham,2024E,Canola,Yield (bushels/acre),66.24234393820453
Durham,2024E,Canola,Production ('000 bushels),32.734555720358244
Durham,2024E,Canola,Production ('000 tonnes),0.7424148534962861
Haliburton,2024E,Canola,Acres seeded,0
Haliburton,2024E,Canola,Acres harvested,0
Haliburton,2024E,Canola,Yield (bushels/acre),0
Haliburton,2024E,Canola,Production ('000 bushels),0
Haliburton,2024E,Canola,Production ('000 tonnes),0
Hastings,2024E,Canola,Acres seeded,0
Hastings,2024E,Canola,Acres harvested,0
Hastings,2024E,Canola,Yield (bushels/acre),0
Hastings,2024E,Canola,Production ('000 bushels),0
Hastings,2024E,Canola,Production ('000 tonnes),0
Kawartha Lakes,2024E,Canola,Acres seeded,1496.5865743193401
Kawartha Lakes,2024E,Canola,Acres harvested,1340.864554376408
Kawartha Lakes,2024E,Canola,Yield (bushels/acre),51.03971440148261
Kawartha Lakes,2024E,Canola,Production ('000 bushels),68.43734390644312
Kawartha Lakes,2024E,Canola,Production ('000 tonnes),1.5521487777021483
Muskoka,2024E,Canola,Acres seeded,0
Muskoka,2024E,Canola,Acres harvested,0
Muskoka,2024E,Canola,Yield (bushels/acre),0
Muskoka,2024E,Canola,Production ('000 bushels),0
Muskoka,2024E,Canola,Production ('000 tonnes),0
Northumberland,2024E,Canola,Acres seeded,1594.3878246168047
Northumberland,2024E,Canola,Acres harvested,1428.4894416684833
Northumberland,2024E,Canola,Yield (bushels/acre),31.004544971438513
Northumberland,2024E,Canola,Production ('000 bushels),44.289665135435584
Northumberland,2024E,Canola,Production ('000 tonnes),1.004483015863095
Parry Sound,2024E,Canola,Acres seeded,0
Parry Sound,2024E,Canola,Acres harvested,0
Parry Sound,2024E,Canola,Yield (bushels/acre),0
Parry Sound,2024E,Canola,Production ('000 bushels),0
Parry Sound,2024E,Canola,Production ('000 tonnes),0
Peterborough,2024E,Canola,Acres seeded,0
Peterborough,2024E,Canola,Acres harvested,0
Peterborough,2024E,Canola,Yield (bushels/acre),0
Peterborough,2024E,Canola,Production ('000 bushels),0
Peterborough,2024E,Canola,Production ('000 tonnes),0
Prince Edward,2024E,Canola,Acres seeded,592.4936209881278
Prince Edward,2024E,Canola,Acres harvested,530.8437939438514
Prince Edward,2024E,Canola,Yield (bushels/acre),46.40752554175355
Prince Edward,2024E,Canola,Production ('000 bushels),24.635146926130645
Prince Edward,2024E,Canola,Production ('000 tonnes),0.558721467071819
York,2024E,Canola,Acres seeded,106.89904102281002
York,2024E,Canola,Acres harvested,95.77603959831487
York,2024E,Canola,Yield (bushels/acre),62.812710482091425
York,2024E,Canola,Production ('000 bushels),6.015952646410276
York,2024E,Canola,Production ('000 tonnes),0.13644091096820912
Central Ontario,2024E,Canola,Acres seeded,4341.920623671155
Central Ontario,2024E,Canola,Acres harvested,3890.1374381528312
Central Ontario,2024E,Canola,Yield (bushels/acre),45.27157899552313
Central Ontario,2024E,Canola,Production ('000 bushels),176.11266433477786
Central Ontario,2024E,Canola,Production ('000 tonnes),3.9942090251015574
Frontenac,2024E,Canola,Acres seeded,0
Frontenac,2024E,Canola,Acres harvested,0
Frontenac,2024E,Canola,Yield (bushels/acre),0
Frontenac,2024E,Canola,Production ('000 bushels),0
Frontenac,2024E,Canola,Production ('000 tonnes),0
Lanark,2024E,Canola,Acres seeded,0
Lanark,2024E,Canola,Acres harvested,0
Lanark,2024E,Canola,Yield (bushels/acre),0
Lanark,2024E,Canola,Production ('000 bushels),0
Lanark,2024E,Canola,Production ('000 tonnes),0
Leeds and Grenville,2024E,Canola,Acres seeded,0
Leeds and Grenville,2024E,Canola,Acres harvested,0
Leeds and Grenville,2024E,Canola,Yield (bushels/acre),0
Leeds and Grenville,2024E,Canola,Production ('000 bushels),0
Leeds and Grenville,2024E,Canola,Production ('000 tonnes),0
Lennox and Addington,2024E,Canola,Acres seeded,243.77637075769965
Lennox and Addington,2024E,Canola,Acres harvested,244.08337354449594
Lennox and Addington,2024E,Canola,Yield (bushels/acre),50.98186153673654
Lennox and Addington,2024E,Canola,Production ('000 bushels),12.443824753465034
Lennox and Addington,2024E,Canola,Production ('000 tonnes),0.2822240940185302
Ottawa,2024E,Canola,Acres seeded,506.2022999340211
Ottawa,2024E,Canola,Acres harvested,506.839792059609
Ottawa,2024E,Canola,Yield (bushels/acre),0
Ottawa,2024E,Canola,Production ('000 bushels),32.967041452667026
Ottawa,2024E,Canola,Production ('000 tonnes),0.7476875953158629
Prescott and Russell,2024E,Canola,Acres seeded,0
Prescott and Russell,2024E,Canola,Acres harvested,0
Prescott and Russell,2024E,Canola,Yield (bushels/acre),0
Prescott and Russell,2024E,Canola,Production ('000 bushels),0
Prescott and Russell,2024E,Canola,Production ('000 tonnes),0
Renfrew,2024E,Canola,Acres seeded,3881.4393458756686
Renfrew,2024E,Canola,Acres harvested,3886.3274845096994
Renfrew,2024E,Canola,Yield (bushels/acre),45.18588173577934
Renfrew,2024E,Canola,Production ('000 bushels),175.6071341015641
Renfrew,2024E,Canola,Production ('000 tonnes),3.9827436746249685
"Stormont, Dundas and Glengarry",2024E,Canola,Acres seeded,173.17447103005986
"Stormont, Dundas and Glengarry",2024E,Canola,Acres harvested,173.3925604414452
"Stormont, Dundas and Glengarry",2024E,Canola,Yield (bushels/acre),86.29749351302405
"Stormont, Dundas and Glengarry",2024E,Canola,Production ('000 bushels),14.963343359902249
"Stormont, Dundas and Glengarry",2024E,Canola,Production ('000 tonnes),0.3393664011589914
Eastern Ontario,2024E,Canola,Acres seeded,4804.59248759745
Eastern Ontario,2024E,Canola,Acres harvested,4810.643210555249
Eastern Ontario,2024E,Canola,Yield (bushels/acre),49.054010729754616
Eastern Ontario,2024E,Canola,Production ('000 bushels),235.9813436675984
Eastern Ontario,2024E,Canola,Production ('000 tonnes),5.352021765118352
Algoma,2024E,Canola,Acres seeded,360.0220012545354
Algoma,2024E,Canola,Acres harvested,360.17226493247983
Algoma,2024E,Canola,Yield (bushels/acre),39.1211148116263
Algoma,2024E,Canola,Production ('000 bushels),14.09034052838703
Algoma,2024E,Canola,Production ('000 tonnes),0.31956682682543386
Cochrane,2024E,Canola,Acres seeded,5089.626099927131
Cochrane,2024E,Canola,Acres harvested,5091.750375483824
Cochrane,2024E,Canola,Yield (bushels/acre),54.242099275675194
Cochrane,2024E,Canola,Production ('000 bushels),276.18722935395004
Cochrane,2024E,Canola,Production ('000 tonnes),6.263885270660212
Greater Sudbury,2024E,Canola,Acres seeded,0
Greater Sudbury,2024E,Canola,Acres harvested,0
Greater Sudbury,2024E,Canola,Yield (bushels/acre),0
Greater Sudbury,2024E,Canola,Production ('000 bushels),0
Greater Sudbury,2024E,Canola,Production ('000 tonnes),0
Kenora,2024E,Canola,Acres seeded,0
Kenora,2024E,Canola,Acres harvested,0
Kenora,2024E,Canola,Yield (bushels/acre),0
Kenora,2024E,Canola,Production ('000 bushels),0
Kenora,2024E,Canola,Production ('000 tonnes),0
Manitoulin,2024E,Canola,Acres seeded,413.28553020726116
Manitoulin,2024E,Canola,Acres harvested,413.45802467591517
Manitoulin,2024E,Canola,Yield (bushels/acre),47.15786919156235
Manitoulin,2024E,Canola,Production ('000 bushels),19.497799443868562
Manitoulin,2024E,Canola,Production ('000 tonnes),0.44220719050776924
Nipissing,2024E,Canola,Acres seeded,2423.490567349023
Nipissing,2024E,Canola,Acres harvested,2424.502068326309
Nipissing,2024E,Canola,Yield (bushels/acre),53.265072259315396
Nipissing,2024E,Canola,Production ('000 bushels),129.1412778622605
Nipissing,2024E,Canola,Production ('000 tonnes),2.928904968299476
Rainy River,2024E,Canola,Acres seeded,4139.759833603521
Rainy River,2024E,Canola,Acres harvested,4141.487660059227
Rainy River,2024E,Canola,Yield (bushels/acre),38.04977110525179
Rainy River,2024E,Canola,Production ('000 bushels),157.58265750047843
Rainy River,2024E,Canola,Production ('000 tonnes),3.573951226990802
Sudbury,2024E,Canola,Acres seeded,823.6119754727043
Sudbury,2024E,Canola,Acres harvested,823.955729366084
Sudbury,2024E,Canola,Yield (bushels/acre),34.69408405156487
Sudbury,2024E,Canola,Production ('000 bushels),28.586389329395356
Sudbury,2024E,Canola,Production ('000 tonnes),0.6483350569127133
Thunder Bay,2024E,Canola,Acres seeded,895.6163757236113
Thunder Bay,2024E,Canola,Acres harvested,895.99018235258
Thunder Bay,2024E,Canola,Yield (bushels/acre),52.42175897728651
Thunder Bay,2024E,Canola,Production ('000 bushels),46.96938138530193
Thunder Bay,2024E,Canola,Production ('000 tonnes),1.0652585817223517
Timiskaming,2024E,Canola,Acres seeded,15562.518162174474
Timiskaming,2024E,Canola,Acres harvested,15569.013546370375
Timiskaming,2024E,Canola,Yield (bushels/acre),46.014369715014304
Timiskaming,2024E,Canola,Production ('000 bushels),716.3983454207524
Timiskaming,2024E,Canola,Production ('000 tonnes),16.247807888522917
Northern Ontario,2024E,Canola,Acres seeded,29707.93054571226
Northern Ontario,2024E,Canola,Acres harvested,29720.329851566796
Northern Ontario,2024E,Canola,Yield (bushels/acre),46.71729512286009
Northern Ontario,2024E,Canola,Production ('000 bushels),1388.4534208243945
Northern Ontario,2024E,Canola,Production ('000 tonnes),31.48991701044168
Ontario,2024E,Canola,Acres seeded,56400.00000000001
Ontario,2024E,Canola,Acres harvested,54600
Ontario,2024E,Canola,Yield (bushels/acre),49.3
Ontario,2024E,Canola,Production ('000 bushels),2691.78
Ontario,2024E,Canola,Production ('000 tonnes),61.04916991744535
Brant,2023E,Canola,Acres seeded,0
Brant,2023E,Canola,Acres harvested,0
Brant,2023E,Canola,Yield (bushels/acre),0
Brant,2023E,Canola,Production ('000 bushels),0
Brant,2023E,Canola,Production ('000 tonnes),0
Chatham-Kent,2023E,Canola,Acres seeded,757.8550710304991
Chatham-Kent,2023E,Canola,Acres harvested,744.4119655576743
Chatham-Kent,2023E,Canola,Yield (bushels/acre),69.0762573303274
Chatham-Kent,2023E,Canola,Production ('000 bushels),51.42119249263673
Chatham-Kent,2023E,Canola,Production ('000 tonnes),1.1662249952970318
Elgin,2023E,Canola,Acres seeded,0
Elgin,2023E,Canola,Acres harvested,0
Elgin,2023E,Canola,Yield (bushels/acre),0
Elgin,2023E,Canola,Production ('000 bushels),0
Elgin,2023E,Canola,Production ('000 tonnes),0
Essex,2023E,Canola,Acres seeded,945.4739910356845
Essex,2023E,Canola,Acres harvested,928.7028337667589
Essex,2023E,Canola,Yield (bushels/acre),67.6129898659938
Essex,2023E,Canola,Production ('000 bushels),62.79237528799158
Essex,2023E,Canola,Production ('000 tonnes),1.424121729293105
Haldimand-Norfolk,2023E,Canola,Acres seeded,187.55882208515052
Haldimand-Norfolk,2023E,Canola,Acres harvested,184.23183632754254
Haldimand-Norfolk,2023E,Canola,Yield (bushels/acre),103.80951110316889
Haldimand-Norfolk,2023E,Canola,Production ('000 bushels),19.12501685880122
Haldimand-Norfolk,2023E,Canola,Production ('000 tonnes),0.4337525369409694
Hamilton,2023E,Canola,Acres seeded,47.16940276123439
Hamilton,2023E,Canola,Acres harvested,46.33269495172247
Hamilton,2023E,Canola,Yield (bushels/acre),64.87734163629645
Hamilton,2023E,Canola,Production ('000 bushels),3.005942079313207
Hamilton,2023E,Canola,Production ('000 tonnes),0.06817431913529
Lambton,2023E,Canola,Acres seeded,927.7697418659678
Lambton,2023E,Canola,Acres harvested,911.3126289282123
Lambton,2023E,Canola,Yield (bushels/acre),71.31799242557778
Lambton,2023E,Canola,Production ('000 bushels),64.99298716723563
Lambton,2023E,Canola,Production ('000 tonnes),1.4740312793077117
Middlesex,2023E,Canola,Acres seeded,0
Middlesex,2023E,Canola,Acres harvested,0
Middlesex,2023E,Canola,Yield (bushels/acre),0
Middlesex,2023E,Canola,Production ('000 bushels),0
Middlesex,2023E,Canola,Production ('000 tonnes),0
Niagara,2023E,Canola,Acres seeded,193.28973042603604
Niagara,2023E,Canola,Acres harvested,189.861087757725
Niagara,2023E,Canola,Yield (bushels/acre),62.49823175981372
Niagara,2023E,Canola,Production ('000 bushels),11.865982264852628
Niagara,2023E,Canola,Production ('000 tonnes),0.2691187123481046
Oxford,2023E,Canola,Acres seeded,0
Oxford,2023E,Canola,Acres harvested,0
Oxford,2023E,Canola,Yield (bushels/acre),0
Oxford,2023E,Canola,Production ('000 bushels),0
Oxford,2023E,Canola,Production ('000 tonnes),0
Southern Ontario,2023E,Canola,Acres seeded,3059.116759204572
Southern Ontario,2023E,Canola,Acres harvested,3004.8530472896355
Southern Ontario,2023E,Canola,Yield (bushels/acre),70.9530525438306
Southern Ontario,2023E,Canola,Production ('000 bushels),213.20349615083097
Southern Ontario,2023E,Canola,Production ('000 tonnes),4.835423572322212
Bruce,2023E,Canola,Acres seeded,467.5011918113454
Bruce,2023E,Canola,Acres harvested,459.2084877437383
Bruce,2023E,Canola,Yield (bushels/acre),56.28042340046671
Bruce,2023E,Canola,Production ('000 bushels),25.84444811930562
Bruce,2023E,Canola,Production ('000 tonnes),0.5861482382134088
Dufferin,2023E,Canola,Acres seeded,1670.1322846117778
Dufferin,2023E,Canola,Acres harvested,1640.5068782328547
Dufferin,2023E,Canola,Yield (bushels/acre),56.65253828705909
Dufferin,2023E,Canola,Production ('000 bushels),92.93887872927058
Dufferin,2023E,Canola,Production ('000 tonnes),2.1078399421498366
Grey,2023E,Canola,Acres seeded,3474.917490972626
Grey,2023E,Canola,Acres harvested,3413.2781563212266
Grey,2023E,Canola,Yield (bushels/acre),48.07220511420425
Grey,2023E,Canola,Production ('000 bushels),164.08380764250694
Grey,2023E,Canola,Production ('000 tonnes),3.7213963449720344
Halton,2023E,Canola,Acres seeded,0
Halton,2023E,Canola,Acres harvested,0
Halton,2023E,Canola,Yield (bushels/acre),0
Halton,2023E,Canola,Production ('000 bushels),0
Halton,2023E,Canola,Production ('000 tonnes),0
Huron,2023E,Canola,Acres seeded,573.8944002616852
Huron,2023E,Canola,Acres harvested,563.7144552459567
Huron,2023E,Canola,Yield (bushels/acre),78.03778597286227
Huron,2023E,Canola,Production ('000 bushels),43.991028008292616
Huron,2023E,Canola,Production ('000 tonnes),0.9977099702506718
Peel,2023E,Canola,Acres seeded,100.62805922396673
Peel,2023E,Canola,Acres harvested,98.84308256367461
Peel,2023E,Canola,Yield (bushels/acre),56.60743153331376
Peel,2023E,Canola,Production ('000 bushels),5.59525302876489
Peel,2023E,Canola,Production ('000 tonnes),0.12689950623162682
Perth,2023E,Canola,Acres seeded,178.19552154244107
Perth,2023E,Canola,Acres harvested,175.03462537317378
Perth,2023E,Canola,Yield (bushels/acre),53.1729633097684
Perth,2023E,Canola,Production ('000 bushels),9.307109712906826
Perth,2023E,Canola,Production ('000 tonnes),0.21108386357858175
Simcoe,2023E,Canola,Acres seeded,1460.155067697767
Simcoe,2023E,Canola,Acres harvested,1434.2543126166534
Simcoe,2023E,Canola,Yield (bushels/acre),44.872031993719666
Simcoe,2023E,Canola,Production ('000 bushels),64.35790540286487
Simcoe,2023E,Canola,Production ('000 tonnes),1.4596277193791363
Waterloo,2023E,Canola,Acres seeded,0
Waterloo,2023E,Canola,Acres harvested,0
Waterloo,2023E,Canola,Yield (bushels/acre),0
Waterloo,2023E,Canola,Production ('000 bushels),0
Waterloo,2023E,Canola,Production ('000 tonnes),0
Wellington,2023E,Canola,Acres seeded,2765.646904786198
Wellington,2023E,Canola,Acres harvested,2716.588866563826
Wellington,2023E,Canola,Yield (bushels/acre),61.355049471586355
Wellington,2023E,Canola,Production ('000 bushels),166.67644430198425
Wellington,2023E,Canola,Production ('000 tonnes),3.780196958676954
Western Ontario,2023E,Canola,Acres seeded,10691.070920907807
Western Ontario,2023E,Canola,Acres harvested,10501.428864661106
Western Ontario,2023E,Canola,Yield (bushels/acre),54.54447031236271
Western Ontario,2023E,Canola,Production ('000 bushels),572.7948749458966
Western Ontario,2023E,Canola,Production ('000 tonnes),12.99090254345225
Durham,2023E,Canola,Acres seeded,440.2477591048542
Durham,2023E,Canola,Acres harvested,432.43848621607634
Durham,2023E,Canola,Yield (bushels/acre),58.82196392938027
Durham,2023E,Canola,Production ('000 bushels),25.436881037877846
Durham,2023E,Canola,Production ('000 tonnes),0.5769046774443856
Haliburton,2023E,Canola,Acres seeded,0
Haliburton,2023E,Canola,Acres harvested,0
Haliburton,2023E,Canola,Yield (bushels/acre),0
Haliburton,2023E,Canola,Production ('000 bushels),0
Haliburton,2023E,Canola,Production ('000 tonnes),0
Hastings,2023E,Canola,Acres seeded,0
Hastings,2023E,Canola,Acres harvested,0
Hastings,2023E,Canola,Yield (bushels/acre),0
Hastings,2023E,Canola,Production ('000 bushels),0
Hastings,2023E,Canola,Production ('000 tonnes),0
Kawartha Lakes,2023E,Canola,Acres seeded,1189.717158533356
Kawartha Lakes,2023E,Canola,Acres harvested,1168.6135282267778
Kawartha Lakes,2023E,Canola,Yield (bushels/acre),45.40176348460463
Kawartha Lakes,2023E,Canola,Production ('000 bushels),53.057115013461505
Kawartha Lakes,2023E,Canola,Production ('000 tonnes),1.203327474677073
Muskoka,2023E,Canola,Acres seeded,0
Muskoka,2023E,Canola,Acres harvested,0
Muskoka,2023E,Canola,Yield (bushels/acre),0
Muskoka,2023E,Canola,Production ('000 bushels),0
Muskoka,2023E,Canola,Production ('000 tonnes),0
Northumberland,2023E,Canola,Acres seeded,1189.717158533356
Northumberland,2023E,Canola,Acres harvested,1168.6135282267778
Northumberland,2023E,Canola,Yield (bushels/acre),45.34568459751557
Northumberland,2023E,Canola,Production ('000 bushels),52.99158046736133
Northumberland,2023E,Canola,Production ('000 tonnes),1.2018411609217394
Parry Sound,2023E,Canola,Acres seeded,0
Parry Sound,2023E,Canola,Acres harvested,0
Parry Sound,2023E,Canola,Yield (bushels/acre),0
Parry Sound,2023E,Canola,Production ('000 bushels),0
Parry Sound,2023E,Canola,Production ('000 tonnes),0
Peterborough,2023E,Canola,Acres seeded,0
Peterborough,2023E,Canola,Acres harvested,0
Peterborough,2023E,Canola,Yield (bushels/acre),0
Peterborough,2023E,Canola,Production ('000 bushels),0
Peterborough,2023E,Canola,Production ('000 tonnes),0
Prince Edward,2023E,Canola,Acres seeded,1449.6729781952702
Prince Edward,2023E,Canola,Acres harvested,1423.9581581829373
Prince Edward,2023E,Canola,Yield (bushels/acre),37.51911970452712
Prince Edward,2023E,Canola,Production ('000 bushels),53.42565659110359
Prince Edward,2023E,Canola,Production ('000 tonnes),1.2116859428264446
York,2023E,Canola,Acres seeded,251.5701480599167
York,2023E,Canola,Acres harvested,247.10770640918648
York,2023E,Canola,Yield (bushels/acre),54.33521288958865
York,2023E,Canola,Production ('000 bushels),13.426649834401116
York,2023E,Canola,Production ('000 tonnes),0.304514420629618
Central Ontario,2023E,Canola,Acres seeded,4520.925202426753
Central Ontario,2023E,Canola,Acres harvested,4440.731407261756
Central Ontario,2023E,Canola,Yield (bushels/acre),44.66333690433766
Central Ontario,2023E,Canola,Production ('000 bushels),198.33788294420535
Central Ontario,2023E,Canola,Production ('000 tonnes),4.4982736764992595
Frontenac,2023E,Canola,Acres seeded,189.7258199951872
Frontenac,2023E,Canola,Acres harvested,186.3603952502615
Frontenac,2023E,Canola,Yield (bushels/acre),43.88098390002733
Frontenac,2023E,Canola,Production ('000 bushels),8.177677503579455
Frontenac,2023E,Canola,Production ('000 tonnes),0.1854685091077623
Lanark,2023E,Canola,Acres seeded,0
Lanark,2023E,Canola,Acres harvested,0
Lanark,2023E,Canola,Yield (bushels/acre),0
Lanark,2023E,Canola,Production ('000 bushels),0
Lanark,2023E,Canola,Production ('000 tonnes),0
Leeds and Grenville,2023E,Canola,Acres seeded,104.82089502496532
Leeds and Grenville,2023E,Canola,Acres harvested,102.96154433716107
Leeds and Grenville,2023E,Canola,Yield (bushels/acre),43.6082756939693
Leeds and Grenville,2023E,Canola,Production ('000 bushels),4.489975411331763
Leeds and Grenville,2023E,Canola,Production ('000 tonnes),0.1018319743112529
Lennox and Addington,2023E,Canola,Acres seeded,210.79481989520525
Lennox and Addington,2023E,Canola,Acres harvested,207.0556656620309
Lennox and Addington,2023E,Canola,Yield (bushels/acre),44.280206942856125
Lennox and Addington,2023E,Canola,Production ('000 bushels),9.168467724205557
Lennox and Addington,2023E,Canola,Production ('000 tonnes),0.20793948390196765
Ottawa,2023E,Canola,Acres seeded,0
Ottawa,2023E,Canola,Acres harvested,0
Ottawa,2023E,Canola,Yield (bushels/acre),0
Ottawa,2023E,Canola,Production ('000 bushels),0
Ottawa,2023E,Canola,Production ('000 tonnes),0
Prescott and Russell,2023E,Canola,Acres seeded,0
Prescott and Russell,2023E,Canola,Acres harvested,0
Prescott and Russell,2023E,Canola,Yield (bushels/acre),0
Prescott and Russell,2023E,Canola,Production ('000 bushels),0
Prescott and Russell,2023E,Canola,Production ('000 tonnes),0
Renfrew,2023E,Canola,Acres seeded,1526.3284987270272
Renfrew,2023E,Canola,Acres harvested,1499.253935556703
Renfrew,2023E,Canola,Yield (bushels/acre),41.060807209850964
Renfrew,2023E,Canola,Production ('000 bushels),61.5605768065041
Renfrew,2023E,Canola,Production ('000 tonnes),1.3961847229997302
"Stormont, Dundas and Glengarry",2023E,Canola,Acres seeded,64.9889549154785
